,langLabel,code,countryLabel,speakers
af,Afrikaans,af,"Botswana,South Africa,Namibia",10300000
ar,Arabic,ar,"Chad,Morocco,Egypt,Oman,Syria,Yemen,Qatar,Mauritania,Saudi Arabia,South Sudan,Iran,State of Palestine,Algeria,Tunisia,Niger,Kuwait,Comoros,Iraq,Libya,Bahrain,Israel,United Arab Emirates,Mali,Sudan,Jordan,Somalia,Eritrea,Djibouti,Lebanon,Afghanistan",315421300
as,Assamese,as,India,15300000
ay,Aymara,ay,"Chile,Peru,Bolivia",4000000
az,Azerbaijani,az,"United States of America,Kazakhstan,Iraq,Kyrgyzstan,Turkmenistan,Uzbekistan,Germany,Georgia,Turkey,Azerbaijan,Russia,Afghanistan,Syria,Ukraine,Iran,Armenia",23000000
bm,Bambara,bm,"Mali,Ivory Coast",2700000
eu,Basque,eu,"Spain,France",750000
be,Belarusian,be,"Russia,Belarus,Canada,Poland,Ukraine,Latvia,Lithuania,United States of America",7600000
bg,Bulgarian,bg,"Albania,Russia,Bulgaria,Greece,North Macedonia,Ukraine,Moldova,Romania,Turkey,Serbia",9000000
ca,Catalan,ca,"Spain,Italy,France,Andorra",5100000
ny,Chewa,ny,"Zambia,Mozambique,Malawi",12000000
co,Corsican,co,"Italy,France",151000
cs,Czech,cs,Czech Republic,10700000
da,Danish,da,"Germany,Greenland,Denmark,Kingdom of Denmark,Faroe Islands",6000000
nl,Dutch,nl,"Belgium,Germany,Netherlands,France,Suriname,Caribbean Netherlands,Curaçao,Sint Maarten,Kingdom of the Netherlands,Aruba",23100000
