langLabel,code,country,countryLabel,speakers
Hausa,ha,http://www.wikidata.org/entity/Q1009,Cameroon,43900000
Māori,mi,http://www.wikidata.org/entity/Q664,New Zealand,160000
Hausa,ha,http://www.wikidata.org/entity/Q962,Benin,43900000
Hausa,ha,http://www.wikidata.org/entity/Q117,Ghana,43900000
Modern Greek,el,http://www.wikidata.org/entity/Q222,Albania,15000000
Hausa,ha,http://www.wikidata.org/entity/Q945,Togo,43900000
Komi,kv,http://www.wikidata.org/entity/Q159,Russia,219100
Modern Greek,el,http://www.wikidata.org/entity/Q41,Greece,15000000
Kurdish,ku,http://www.wikidata.org/entity/Q858,Syria,21000000
Malayalam,ml,http://www.wikidata.org/entity/Q668,India,37100000
Kongo,kg,http://www.wikidata.org/entity/Q971,Republic of the Congo,5016500
Lingala,ln,http://www.wikidata.org/entity/Q971,Republic of the Congo,2000000
Chuvash,cv,http://www.wikidata.org/entity/Q232,Kazakhstan,1279650
Kurdish,ku,http://www.wikidata.org/entity/Q794,Iran,21000000
Chechen,ce,http://www.wikidata.org/entity/Q232,Kazakhstan,1393900
Kurdish,ku,http://www.wikidata.org/entity/Q399,Armenia,21000000
Igbo,ig,http://www.wikidata.org/entity/Q1033,Nigeria,27000000
Cree,cr,http://www.wikidata.org/entity/Q16,Canada,8040
Cree,cr,http://www.wikidata.org/entity/Q16,Canada,10875
Modern Greek,el,http://www.wikidata.org/entity/Q229,Cyprus,15000000
Chuvash,cv,http://www.wikidata.org/entity/Q265,Uzbekistan,1279650
Kongo,kg,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,5016500
Bislama,bi,http://www.wikidata.org/entity/Q686,Vanuatu,10000
Lingala,ln,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,2000000
Chechen,ce,http://www.wikidata.org/entity/Q458,European Union,1393900
Hausa,ha,http://www.wikidata.org/entity/Q657,Chad,43900000
Hausa,ha,http://www.wikidata.org/entity/Q965,Burkina Faso,43900000
Nuosu,ii,http://www.wikidata.org/entity/Q148,People's Republic of China,2000000
Chuvash,cv,http://www.wikidata.org/entity/Q159,Russia,1279650
Bislama,bi,http://www.wikidata.org/entity/Q142,France,10000
